82;Caicedo;Occidente Antioqueño;Carrera 4 N. 5 - 32 Olaya Herrera;Lunes a viernes 07:30 a. m. - 11:30 a. m. y 01:00 p. m. a 5:00 p.m.;Caicedo;;NO hay punto de entrega para tarjeta Somos
83;Dabeiba;Occidente Antioqueño;Calle 10 N. 11-15 (Frente a la Estación de Policía);Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Dabeiba;;NO hay punto de entrega para tarjeta Somos
84;Ebéjico;Occidente Antioqueño;Calle 19 N. 20 - 24 Pasaje Fátima;Martes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m. Nota: Cuando el lunes es festivo, la sede estaría cerrada por apoyo en la oficina del Corregimiento de Sevilla.;Ebéjico;;NO hay punto de entrega para tarjeta Somos
85;Giraldo;Occidente Antioqueño;Calle Casa de la Cultura;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Giraldo;;NO hay punto de entrega para tarjeta Somos
86;Heliconia;Occidente Antioqueño;Carrera 21 N. 19 A -3;Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Heliconia;;NO hay punto de entrega para tarjeta Somos
87;Liborina-Olaya;Occidente Antioqueño;Calle 8 N. 10 - 53;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Liborina-Olaya;;NO hay punto de entrega para tarjeta Somos
88;Sabanalarga;Occidente Antioqueño;Calle 18 N. 19 -02;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Sabanalarga;;NO hay punto de entrega para tarjeta Somos
89;San Jerónimo;Occidente Antioqueño;Carrera 11 N. 18 - 108;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;San Jerónimo;;NO hay punto de entrega para tarjeta Somos
90;Sevilla;Occidente Antioqueño;Calle 14 N. 07 - 06;Lunes de 9:30 a. m. a 12:00 a.m. y de 1:00 p.m. a 3:30 p.m. Nota: Cuando el lunes sea festivo, la atención se traslada para el día martes;Sevilla;;NO hay punto de entrega para tarjeta Somos
91;Sopetrán;Occidente Antioqueño;Calle 9 N. 10 - 15;Lunes a viernes de 7:30 a.m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Sopetrán;;NO hay punto de entrega para tarjeta Somos
92;Uramita;Occidente Antioqueño;Carrera 20 N. 20 - 48 Local 101;Horario de atención: Lunes y martes de 07:30 a.m. a 11:30 a.m. y 1:00 p.m. a 5:00 p.m. y miércoles de 7:30 a.m. a 9:30 a.m.;Uramita;;NO hay punto de entrega para tarjeta Somos
93;Abejorral;Oriente Antioqueño;Carrera 51 N. 50 - 37 (EDATEL);Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Abejorral;;SI hay punto de entrega para tarjeta Somos
94;Argelia;Oriente Antioqueño;Calle 32 N. 29- 75;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Argelia;;SI hay punto de entrega para tarjeta Somos
95;El Peñol;Oriente Antioqueño;Carrera 15 A N. 01 - 30;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;El Peñol;;SI hay punto de entrega para tarjeta Somos
96;El Santuario;Oriente Antioqueño;Calle 51 N. 50-29;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;El Santuario;;SI hay punto de entrega para tarjeta Somos
97;Guatape;Oriente Antioqueño;Calle 32 N. 23 - 27;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Guatape;;SI hay punto de entrega para tarjeta Somos
98;La Ceja;Oriente Antioqueño;Carrera 20 N. 18 - 68;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;La Ceja;;SI hay punto de entrega para tarjeta Somos
99;Marinilla;Oriente Antioqueño;Calle 29 N. 30 - 55;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Marinilla;;SI hay punto de entrega para tarjeta Somos
100;Nariño;Oriente Antioqueño;Carrera 9 N. 10 - 40;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Nariño;;SI hay punto de entrega para tarjeta Somos
101;Rionegro;Oriente Antioqueño;Calle 59 A N. 51 - 10;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Rionegro;;SI hay punto de entrega para tarjeta Somos
102;San Carlos;Oriente Antioqueño;Carrera 20 N. 20 - 42;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;San Carlos;;SI hay punto de entrega para tarjeta Somos
103;San Rafael;Oriente Antioqueño;Calle 22 N. 19 - 43;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;San Rafael;;SI hay punto de entrega para tarjeta Somos
104;Sonson;Oriente Antioqueño;Calle 6 N. 7 - 46;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Sonson;;SI hay punto de entrega para tarjeta Somos
105;Alejandría;Oriente Antioqueño;Carrera 20 N. 20 - 67;Lunes y viernes 07:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Alejandría;;NO hay punto de entrega para tarjeta Somos
106;Cocorná;Oriente Antioqueño;Calle 21 N. 19 - 38;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Cocorná;;NO hay punto de entrega para tarjeta Somos
107;Concepción;Oriente Antioqueño;Av. Tulio Ospina N. 19 - 49;Martes, miércoles y jueves de 8:00 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Concepción;;NO hay punto de entrega para tarjeta Somos
108;El Carmen de Viboral;Oriente Antioqueño;Calle 30 N° 31 - 40;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;El Carmen de Viboral;;NO hay punto de entrega para tarjeta Somos
109;El Retiro;Oriente Antioqueño;Carrera 20 N. 18 - 28 local 108 Centro Comercial La Casona;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;El Retiro;;NO hay punto de entrega para tarjeta Somos
110;Granada;Oriente Antioqueño;Carrera 23 N. 22A - 07. Piso 1;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Granada;;NO hay punto de entrega para tarjeta Somos
111;Guarne;Oriente Antioqueño;Calle 51 N. 51 - 49;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Guarne;;NO hay punto de entrega para tarjeta Somos
112;La Unión;Oriente Antioqueño;Carrera 8 No. 12 - 27 Local 2;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;La Unión;;NO hay punto de entrega para tarjeta Somos
113;San Francisco;Oriente Antioqueño;Calle 9 entre carreras 10 y 11;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;San Francisco;a una cuadra del parque principal;NO hay punto de entrega para tarjeta Somos
